1120210304320142 1552530005037242 Sun, Jan 1
1010000221300032 1454424410054541 Wed, Mar 14
1010000330302443 1647121250412033 Wed, Mar 15
1010000252144312 1647220525404033 Wed, Mar 16
1010000330314443 1647121250404033 Wed, Mar 17
1010000220300513 1335145450033541 Wed, Mar 18
1010000221054032 1454315511404541 Wed, Mar 19
1010000220300513 1331145450033541 Wed, Mar 20
1010000440221550 1035401305243412 Wed, Mar 21
1010000252144402 1647220525316033 Wed, Mar 22
1010000330300443 1647121250412033 Wed, Mar 23
1010000325300513 1227145450033541 Wed, Mar 24
1010000613300550 1256121415336033 Wed, Mar 25
1010000331300550 1416121534245033 Wed, Mar 26
1010000322300441 1647121410245033 Wed, Mar 27
1010000221350032 1400424314054541 Wed, Mar 28
1010000220132513 1647244300033342 Wed, Mar 29
1010000440221550 1035401305422243 Wed, Mar 30
1010000440221550 1035415311404243 Wed, Mar 31
1020240046434550 1002300220252401 Wed, Apr 1
1020240046434550 1004300220252401 Wed, Apr 2
1200260454011042 1501334004623212 Wed, Apr 3
1020000014352513 1240040320400541 Wed, Apr 4
1020000014222513 1341040450400541 Wed, Apr 5
1120260454102503 1033311534340000 Wed, Apr 6
1020000014352042 1411235430641401 Wed, Apr 7
1020110505231403 1454040321000541 Wed, Apr 8
1020100230631503 1442040310006343 Wed, Apr 9
1020100006222042 1454241400515541 Wed, Apr 10
1020000014231550 1411040534447401 Wed, Apr 11
1020100046302550 1532414225006242 Wed, Apr 12
1020230000114400 1647040511244342 Wed, Apr 13
1020000014222513 1240040450400541 Wed, Apr 14
1020000014222042 1454241400515541 Wed, Apr 15
1020100454215421 1507040534006343 Wed, Apr 16
1020000014231400 1515040450331541 Wed, Apr 17
1020100006220042 1454241400515541 Wed, Apr 18
1020000014231513 1454040320400541 Wed, Apr 19
1020000014631042 1400241450527212 Wed, Apr 20
1020100613302550 1234040345006321 Wed, Apr 21
1020000014231402 1420040450331541 Wed, Apr 22
1020000014231400 1420040450331541 Wed, Apr 23
1020000014231513 1454040334641400 Wed, Apr 24
1020000014352400 1240040511222541 Wed, Apr 25
1020100006220042 1454241400641412 Wed, Apr 26
1020100006220441 1647040400241412 Wed, Apr 27
1020000014252042 1647334511404212 Wed, Apr 28
1020000014631042 1454241404527212 Wed, Apr 29
1020000014436550 1237040511345400 Wed, Apr 30
1110260042631001 1300320034446402 Wed, May 1
1000050300017550 1517214230536242 Wed, May 2
1000050236017550 1300215534252402 Wed, May 3
1000210304017223 1352540534054420 Wed, May 4
1000050501017550 1302210234252523 Wed, May 5
1000210304433550 1220525040245013 Wed, May 6
1000050300132550 1410341534216013 Wed, May 7
1000050210017550 1532321225252401 Wed, May 8
1000050501017550 1232210304252523 Wed, May 9
1000050232017550 1400525301252213 Wed, May 10
1000050213017550 1532414400307242 Wed, May 11
1000050501017550 1203224401536242 Wed, May 12
1000140304054210 1454320511641013 Wed, May 13
1000210304017550 1330525341054220 Wed, May 14
1000050213017550 1501320301623242 Wed, May 15
1000050537017232 1647314205252401 Wed, May 16
1000050213017550 1532300321252401 Wed, May 17
1000050304017550 1532221414217242 Wed, May 18
1000210304054331 1420121450013541 Wed, May 19
1000210304224550 1252525040336013 Wed, May 20
1000140304054210 1647320511354013 Wed, May 21
1000050213017550 1307320505623242 Wed, May 22
1000050501017550 1211305230536242 Wed, May 23
1000050213017550 1400320301623242 Wed, May 24
1000210304040550 1220525340256013 Wed, May 25
1000050252017300 1647230211505413 Wed, May 26
1000260300242212 1647324040511013 Wed, May 27
1000050501017413 1647330200252220 Wed, May 28
1000050232017550 1203525404252212 Wed, May 29
1000050537132501 1647214200013242 Wed, May 30
1000260300631212 1442231040517013 Wed, May 31
1110260142631001 1032435304501320 Wed, Jun 1
1000040300433550 1150525224410013 Wed, Jun 2
1000040501156423 1647215304354013 Wed, Jun 3
1000040300433550 1150525211013410 Wed, Jun 4
1000130013156550 1344300534216401 Wed, Jun 5
1000011300631243 1454421211137410 Wed, Jun 6
1000040300154550 1431525211410013 Wed, Jun 7
1000040210156550 1322525340404013 Wed, Jun 8
1000040304433550 1150525310013213 Wed, Jun 9
1000150252332503 1647311200013022 Wed, Jun 10
1000040304314550 1150210534447013 Wed, Jun 11
1000210304046550 1221525421013242 Wed, Jun 12
1000040300433550 1215525154013410 Wed, Jun 13
1000011300230212 1517244450137541 Wed, Jun 14
1000040325156550 1532300211501013 Wed, Jun 15
1000040613226550 1150401200447013 Wed, Jun 16
1000150252332503 1647215304013022 Wed, Jun 17
1000040300433550 1150525211410013 Wed, Jun 18
1000040304156210 1647320511354013 Wed, Jun 19
1000240252046400 1647314205422013 Wed, Jun 20
1000040300310550 1150525435013213 Wed, Jun 21
1000040320631402 1150435205443013 Wed, Jun 22
1000040300631412 1150435211443013 Wed, Jun 23
1000040300631410 1150435211443013 Wed, Jun 24
1000040300156550 1215525340013410 Wed, Jun 25
1000040300156550 1414331211623013 Wed, Jun 26
1000260013211133 1647300340426401 Wed, Jun 27
1000040300156333 1410540534216013 Wed, Jun 28
1000040331501550 1150214200013523 Wed, Jun 29
1000040300433550 1150525310013213 Wed, Jun 30
1020260613423301 1237540400006033 Wed, Jul 1
1200050613132550 1005024400421242 Wed, Jul 2
1140200023001213 1352540534402420 Wed, Jul 3
1020200006321243 1521404450641033 Wed, Jul 4
1020200302236550 1256525324006033 Wed, Jul 5
1020260501215002 1647321304033332 Wed, Jul 6
1020200006503550 1313341231623033 Wed, Jul 7
1020260321503002 1237540300623033 Wed, Jul 8
1020260321204503 1237540534006033 Wed, Jul 9
1020260300411002 1647335231511033 Wed, Jul 10
1020260300310002 1431525231554033 Wed, Jul 11
1020260304314002 1327540534033233 Wed, Jul 12
1020260300310002 1234525435554033 Wed, Jul 13
1020300314631002 1234244450033321 Wed, Jul 14
1020260321206503 1237540534006033 Wed, Jul 15
1020200006631243 1503435220443033 Wed, Jul 16
1020200433523243 1647211505006033 Wed, Jul 17
1020200302631243 1454421220006033 Wed, Jul 18
1020260501220002 1302435244641033 Wed, Jul 19
1020200302631243 1226421450006033 Wed, Jul 20
1020300537215002 1647321250414033 Wed, Jul 21
1020260505215002 1647321304342033 Wed, Jul 22
1020260501411002 1647335231307033 Wed, Jul 23
1020260300631002 1240435220414033 Wed, Jul 24
1020260300310002 1234525340554033 Wed, Jul 25
1020200302232550 1256525220006033 Wed, Jul 26
1020260501425002 1647311231307033 Wed, Jul 27
1020200302220243 1647424445006033 Wed, Jul 28
1020200433523243 1647211410006033 Wed, Jul 29
1020260300321002 1417540231623033 Wed, Jul 30
1020240222631002 1254404450033300 Wed, Jul 31
1120440007200550 1426404035252132 Wed, Aug 1
1020240000300550 1256411220623033 Wed, Aug 2
1140000501352213 1405331011033541 Wed, Aug 3
1020260300310000 1330525244554033 Wed, Aug 4
1020210000236550 1256525324404033 Wed, Aug 5
1020260000427213 1647415244033401 Wed, Aug 6
1020240454256000 1226300534033401 Wed, Aug 7
1020260321503000 1237540300623033 Wed, Aug 8
1020260501220000 1240435304641033 Wed, Aug 9
1020210000222550 1241341534033401 Wed, Aug 10
1020260000202323 1503540534033233 Wed, Aug 11
1020260304314000 1327540534033233 Wed, Aug 12
1020260000421400 1647230511211033 Wed, Aug 13
1020300314631000 1234244450033321 Wed, Aug 14
1020210000631503 1352435220033240 Wed, Aug 15
1020260000413213 1242540534033401 Wed, Aug 16
1020260000631213 1240435401501033 Wed, Aug 17
1020210000220550 1241341534033401 Wed, Aug 18
1020260000631213 1400435244416033 Wed, Aug 19
1020210000631243 1226421450404033 Wed, Aug 20
1020210000220550 1532234250033401 Wed, Aug 21
1020260000423402 1237540214623033 Wed, Aug 22
1020260000631503 1240435220202033 Wed, Aug 23
1020210000434550 1241341220033401 Wed, Aug 24
1020260300310000 1234525340554033 Wed, Aug 25
1020210000220550 1256234534033401 Wed, Aug 26
1020260501425000 1647311231307033 Wed, Aug 27
1020210000220243 1647424445404033 Wed, Aug 28
1020240000202550 1256411220623033 Wed, Aug 29
1020260000631501 1240435220202033 Wed, Aug 30
1020240000631213 1254411450033400 Wed, Aug 31
1110260454434031 1507305144007323 Wed, Sep 1
1200050613132550 1001024400421242 Wed, Sep 2
1140000010122400 1647331511033342 Wed, Sep 3
1140000010352031 1220415340641401 Wed, Sep 4
1110000440017400 1322040511554343 Wed, Sep 5
1110260304321140 1412540534037000 Wed, Sep 6
1110000501017042 1647331401327342 Wed, Sep 7
1110050501436550 1025221401000242 Wed, Sep 8
1140000501122010 1647331401033342 Wed, Sep 9
1110000252017042 1647324340511400 Wed, Sep 10
1110000321017400 1515040450241541 Wed, Sep 11
1110000252017042 1647314340400412 Wed, Sep 12
1110000431017400 1647221511046242 Wed, Sep 13
1110000501017443 1647040244305312 Wed, Sep 14
1110000330352503 1044244310013541 Wed, Sep 15
1110000505144403 1647040321013342 Wed, Sep 16
1110000501436550 1343040401013122 Wed, Sep 17
1110000252017042 1647415340327401 Wed, Sep 18
1110000322017400 1647040244312342 Wed, Sep 19
1110000501017042 1405241450326541 Wed, Sep 20
1110000501436550 1405040345013122 Wed, Sep 21
1110000320631402 1431040450013141 Wed, Sep 22
1110000320631400 1431040450013141 Wed, Sep 23
1110000331017550 1532040310241401 Wed, Sep 24
1110000325017400 1647040511225342 Wed, Sep 25
1110000331017550 1316040534241401 Wed, Sep 26
1110300337324441 1647040034414000 Wed, Sep 27
1110000040156333 1316540534013401 Wed, Sep 28
1110000225436550 1044410404013242 Wed, Sep 29
1110000403631501 1352040444013122 Wed, Sep 30
1110260042321001 1300540534036402 Wed, Oct 1
1000050013205550 1400410230536242 Wed, Oct 2
1000050013200550 1223525421402242 Wed, Oct 3
1000050013436550 1400410205225242 Wed, Oct 4
1000050013200550 1227525421402242 Wed, Oct 5
1000011300310550 1256525040332213 Wed, Oct 6
1000050013352503 1302230211426541 Wed, Oct 7
1000210013054550 1330525341404220 Wed, Oct 8
1000260013631503 1335210304533032 Wed, Oct 9
1000050013200550 1225525421402242 Wed, Oct 10
1000260013200342 1647424505212032 Wed, Oct 11
1000050013200550 1221525421402242 Wed, Oct 12
1000260013631330 1503301205446032 Wed, Oct 13
1000300013433550 1217525231054410 Wed, Oct 14
1000050013203550 1532414400225242 Wed, Oct 15
1000050013203550 1400525421225242 Wed, Oct 16
1000260013211503 1302540534335032 Wed, Oct 17
1000050013203550 1532221401501242 Wed, Oct 18
1000260013200331 1503540534212032 Wed, Oct 19
1000300013310211 1426241450042541 Wed, Oct 20
1000300013231550 1217525435054410 Wed, Oct 21
1000260013323402 1203525435554032 Wed, Oct 22
1000050013200550 1532214230505242 Wed, Oct 23
1000260013631411 1203235444042401 Wed, Oct 24
1000240013054301 1406525354554213 Wed, Oct 25
1000050013200550 1225525324402242 Wed, Oct 26
1000240013054301 1647415354501213 Wed, Oct 27
1000050013200221 1503540534315242 Wed, Oct 28
1000050013200550 1517214230536242 Wed, Oct 29
1000050013203550 1404525421225242 Wed, Oct 30
1000260013330400 1647314205342032 Wed, Oct 31
1110431501023550 1150221304007523 Wed, Nov 1
1000240046320550 1406201534252013 Wed, Nov 2
1000230501216042 1454241304013541 Wed, Nov 3
1000210304335223 1420040450013541 Wed, Nov 4
1000220337433550 1406040200623013 Wed, Nov 5
1010000023210550 1237525421404242 Wed, Nov 6
1000220046230550 1406341200623013 Wed, Nov 7
1000260210220042 1333540534013401 Wed, Nov 8
1000230304352212 1240040511013541 Wed, Nov 9
1000230304352210 1240040511013541 Wed, Nov 10
1000210304335221 1420040450013541 Wed, Nov 11
1000260501216042 1647220304013332 Wed, Nov 12
1000260300631042 1410210331533013 Wed, Nov 13
1000210304523223 1647040354427013 Wed, Nov 14
1000260501325042 1647300211435013 Wed, Nov 15
1000220235631042 1507435200443013 Wed, Nov 16
1000210304631042 1454241224527013 Wed, Nov 17
1000210304352223 1420040340641013 Wed, Nov 18
1000230300352212 1517040244013541 Wed, Nov 19
1000210304631042 1220241450527013 Wed, Nov 20
1000240501212350 1647040200322013 Wed, Nov 21
1000230324352402 1240040205013541 Wed, Nov 22
1000230324352400 1240040205013541 Wed, Nov 23
1000230501212042 1454241200013541 Wed, Nov 24
1000210304631223 1352040444420013 Wed, Nov 25
1000210304335223 1420040450641013 Wed, Nov 26
1000260501401042 1647325205333013 Wed, Nov 27
1000210304252042 1647334224424013 Wed, Nov 28
1000220235631042 1206435501443013 Wed, Nov 29
1000230300352212 1240040511013541 Wed, Nov 30
1110260523631001 1031221304501232 Wed, Dec 1
1000220300436550 1252034331013411 Wed, Dec 2
1000210304327550 1252525421040013 Wed, Dec 3
1000260040523400 1647314205013232 Wed, Dec 4
1100021501352130 1303244001415541 Wed, Dec 5
1000260040200333 1503540534212013 Wed, Dec 6
1000300210631040 1341320450412013 Wed, Dec 7
1000210221431252 1647034424013401 Wed, Dec 8
1000260523631040 1335210304501013 Wed, Dec 9
1000260346631040 1400421301013213 Wed, Dec 10
1000260040631503 1212435304242013 Wed, Dec 11
1000260501216040 1647220304013332 Wed, Dec 12
1000260300631040 1410210331533013 Wed, Dec 13
1000210304433550 1220525245040013 Wed, Dec 14
1000260040242503 1203311534554013 Wed, Dec 15
1000220235631040 1507435200443013 Wed, Dec 16
1000210304631040 1454241224527013 Wed, Dec 17
1000260040523400 1647314205242013 Wed, Dec 18
1000260221403040 1647431200505013 Wed, Dec 19
1000210304631040 1220241450527013 Wed, Dec 20
1000300431214040 1647225250511013 Wed, Dec 21
1000260040320402 1203540534242013 Wed, Dec 22
1000260040320400 1203540534242013 Wed, Dec 23
1000230501212040 1454241200013541 Wed, Dec 24
1000260300631040 1410210444333013 Wed, Dec 25
1000210304224550 1252525331040013 Wed, Dec 26
1000260040242400 1647314205422013 Wed, Dec 27
1000210304252040 1647334224424013 Wed, Dec 28
1000220235631040 1206435501443013 Wed, Dec 29
1000260040631501 1307435211242013 Wed, Dec 30
1000210304631040 1454241224421013 Wed, Dec 31
1120210304003252 1033445641424330 Thur, Jan 1
1020230452346523 1245404000033300 Thur, Jan 2
1010100331054552 1537304231023402 Thur, Jan 3
1010050521104552 1400225421252023 Thur, Jan 4
1010100501054220 1645330354023311 Thur, Jan 5
1010100023210503 1256535130325543 Thur, Jan 6
1010050104350432 1507310221552023 Thur, Jan 7
1020210452220241 1533331000033401 Thur, Jan 8
1010050104521552 1507325221252023 Thur, Jan 9
1010100501042222 1256445641023311 Thur, Jan 10
1010100501210552 1256321531023032 Thur, Jan 11
1010050324104552 1400220531252023 Thur, Jan 12
1010100331054221 1507535314023543 Thur, Jan 13
1010100501337552 1417430215054023 Thur, Jan 14
1010140023456222 1252415544501101 Thur, Jan 15
1010100501054312 1452334641226023 Thur, Jan 16
1010100330210503 1256445641023032 Thur, Jan 17
1010050505104403 1227445641252023 Thur, Jan 18
1010100231210503 1556420445054023 Thur, Jan 19
1010100452054340 1213414400531023 Thur, Jan 20
1010100231456421 1507535210054023 Thur, Jan 21
1010100521054552 1347404215334023 Thur, Jan 22
1010050104252432 1556310221501023 Thur, Jan 23
1010100501054222 1452334641310023 Thur, Jan 24
1010050521104552 1400325221252023 Thur, Jan 25
1010100042521552 1507224210023242 Thur, Jan 26
1010100452054440 1237401210023412 Thur, Jan 27
1010100042252222 1645304430505023 Thur, Jan 28
1010050104501552 1213321531252023 Thur, Jan 29
1010050104252501 1556420215336023 Thur, Jan 30
1010100452054533 1501235210423023 Thur, Jan 31
1020230452346523 1245404004033300 Thur, Feb 1
1000040452322022 1533404345054300 Thur, Feb 2
1000040452054533 1300215340026402 Thur, Feb 3
1000050623200223 1025404425252543 Thur, Feb 4
1000050300527552 1025210234252411 Thur, Feb 5
1000230023212503 1533130200552242 Thur, Feb 6
1000040054200022 1503540315434443 Thur, Feb 7
1000040511054022 1550215354425400 Thur, Feb 8
1000050501527552 1130210304023242 Thur, Feb 9
1000050501527552 1323111304252023 Thur, Feb 10
1000040300054212 1550411354026422 Thur, Feb 11
1000050501431320 1645111304252023 Thur, Feb 12
1000040320054022 1406540200434443 Thur, Feb 13
1000040026356430 1316540205054401 Thur, Feb 14
1000040452054302 1533331211026402 Thur, Feb 15
1000040452054300 1533331211026402 Thur, Feb 16
1000040304054022 1550215354411422 Thur, Feb 17
1000040026212503 1343535200054543 Thur, Feb 18
1000040452200022 1503344315054431 Thur, Feb 19
1000050252326503 1645111304336023 Thur, Feb 20
1000040320054022 1406331200633543 Thur, Feb 21
1000040452054022 1533331304211402 Thur, Feb 22
1000050330120503 1206445641252023 Thur, Feb 23
1000040452054533 1203311340026401 Thur, Feb 24
1000040452054022 1300215340535402 Thur, Feb 25
1000040026054430 1550300354216401 Thur, Feb 26
1000040452054022 1300215340531402 Thur, Feb 27
1000050501120413 1645330200252023 Thur, Feb 28
1000040452054022 1346305501211431 Thur, Feb 29
1120621304323552 1002341141037311 Thur, Mar 1
1120621304323552 1004341141037311 Thur, Mar 2
1010000340300032 1556314350054412 Thur, Mar 3
1010000212300331 1035445641515243 Thur, Mar 4
1010000220300252 1035445641511330 Thur, Mar 5
1010000452425243 1035311215535401 Thur, Mar 6
1010000511300341 1556121320435033 Thur, Mar 7
1110360511023322 1240540141000400 Thur, Mar 8
1010000220132513 1256445641400033 Thur, Mar 9
1010000511300222 1550145354033322 Thur, Mar 10
1010000511300220 1550145354033322 Thur, Mar 11
1010000212300231 1035445641252412 Thur, Mar 12
1010000240521552 1035311215252401 Thur, Mar 13
1010000330314250 1035445641404220 Thur, Mar 14
1010000220302331 1035445641515243 Thur, Mar 15
1010000252144312 1645220525404033 Thur, Mar 16
1010000330314443 1645121250404033 Thur, Mar 17
1010000220300513 1035445641333243 Thur, Mar 18
1010000221054032 1556420445314401 Thur, Mar 19
1010000220300513 1035445641337243 Thur, Mar 20
1010000330300552 1416121250444033 Thur, Mar 21
1010000252144402 1645220525316033 Thur, Mar 22
1010000220300331 1035445641515243 Thur, Mar 23
1010000342300513 1035325221552243 Thur, Mar 24
1010000220300331 1035445641511243 Thur, Mar 25
1010000221054032 1503420300554443 Thur, Mar 26
1010000340300513 1556121320252033 Thur, Mar 27
1010000340300513 1550121320252033 Thur, Mar 28
1010000220132513 1645244300033342 Thur, Mar 29
1010000212300032 1645335525054343 Thur, Mar 30
1010000330300552 1256121410444033 Thur, Mar 31
1020230452344042 1002404250521300 Thur, Apr 1
1020230452344042 1004404250521300 Thur, Apr 2
1200230456011042 1406241004546421 Thur, Apr 3
1020000014252042 1556311521340401 Thur, Apr 4
1020000014511400 1550040435222343 Thur, Apr 5
1110000452250513 1044430011400320 Thur, Apr 6
1020000014231441 1550311521046401 Thur, Apr 7
1020110505321403 1645040231000342 Thur, Apr 8
1020100230637503 1452040310006340 Thur, Apr 9
1020100006521042 1507241445552212 Thur, Apr 10
1020000014350400 1413040231552422 Thur, Apr 11
1020100046302552 1537414225006242 Thur, Apr 12
1020000014252042 1556411234525400 Thur, Apr 13
1020000014511400 1237040421554443 Thur, Apr 14
1020000014521042 1507241445552212 Thur, Apr 15
1020000014236042 1256535415556401 Thur, Apr 16
1020000014231400 1645040511443331 Thur, Apr 17
1020100501231423 1452040641006310 Thur, Apr 18
1020000014222513 1645040244400342 Thur, Apr 19
1020000014523230 1645040410400343 Thur, Apr 20
1020000014250042 1556411234525400 Thur, Apr 21
1020000014350402 1330040231552421 Thur, Apr 22
1020000014350400 1330040231552421 Thur, Apr 23
1020000014523042 1400241641456212 Thur, Apr 24
1020000014350400 1237040511552423 Thur, Apr 25
1020000014637230 1511040454343400 Thur, Apr 26
1020000014231513 1556040320400440 Thur, Apr 27
1020000014231513 1550040320400440 Thur, Apr 28
1020000014252042 1556334404521212 Thur, Apr 29
1020000014511042 1256435234552400 Thur, Apr 30
1110050304036001 1412535321252543 Thur, May 1
1000050300132552 1517214531013242 Thur, May 2
1000050320017232 1406535200252543 Thur, May 3
1000050304017223 1515445641252211 Thur, May 4
1000050300017552 1215321531252411 Thur, May 5
1000260300040523 1550331211410013 Thur, May 6
1000050230017343 1503301205633543 Thur, May 7
1000050210017552 1223430424252401 Thur, May 8
1000050501527552 1136210304013242 Thur, May 9
1000050304132210 1515445641252013 Thur, May 10
1000050312017232 1404535205252543 Thur, May 11
1000050300252212 1556411130013422 Thur, May 12
1000140452054400 1446314205422013 Thur, May 13
1000140304511210 1550320354054013 Thur, May 14
1000050320017232 1406535205252543 Thur, May 15
1000050300017232 1416535211252543 Thur, May 16
1000050300017232 1410535211252543 Thur, May 17
1000050501017552 1206314531252223 Thur, May 18
1000050213017503 1315535304252543 Thur, May 19
1000140356511400 1322540205054013 Thur, May 20
1000140304054210 1645320511354013 Thur, May 21
1000050537017221 1645311200505242 Thur, May 22
1000050300132212 1513445641252013 Thur, May 23
1000050300017552 1232210531252411 Thur, May 24
1000050300132212 1517445641252013 Thur, May 25
1000050252017300 1645230211505413 Thur, May 26
1000050300017232 1556425211252411 Thur, May 27
1000050300017232 1550425211252411 Thur, May 28
1000050320017232 1402535205252543 Thur, May 29
1000050300132212 1515445641252013 Thur, May 30
1000050300017232 1414535211252543 Thur, May 31
1110300321527552 1252134025007411 Thur, Jun 1
1000040501156333 1417201641543013 Thur, Jun 2
1000040501156552 1206314531335013 Thur, Jun 3
1000040331212503 1150535200013543 Thur, Jun 4
1000130013142503 1212535304252543 Thur, Jun 5
1000011300252140 1556411315115422 Thur, Jun 6
1000040300154212 1517335531552013 Thur, Jun 7
1000040320356430 1400540154210013 Thur, Jun 8
1000040325156503 1215535304013543 Thur, Jun 9
1000040521433552 1150311205404013 Thur, Jun 10
1000040300156212 1517331641543013 Thur, Jun 11
1000260013340133 1550300211426401 Thur, Jun 12
1000040300156212 1517335531552013 Thur, Jun 13
1000011140200250 1503535120315543 Thur, Jun 14
1000040331203503 1150535310013543 Thur, Jun 15
1000040220156333 1507535200013543 Thur, Jun 16
1000040452511400 1150320205446013 Thur, Jun 17
1000040521433552 1150404211300013 Thur, Jun 18
1000040304156210 1645320511354013 Thur, Jun 19
1000240252046400 1645314205422013 Thur, Jun 20
1000040300456421 1150535211414013 Thur, Jun 21
1000040320156402 1533331205552013 Thur, Jun 22
1000040300156412 1533331211552013 Thur, Jun 23
1000040300156410 1533331211552013 Thur, Jun 24
1000040521200552 1150404224447013 Thur, Jun 25
1000040331212503 1150535200556013 Thur, Jun 26
1000040300156523 1556331211410013 Thur, Jun 27
1000040300156523 1550331211410013 Thur, Jun 28
1000040220156333 1206535501013543 Thur, Jun 29
1000040301156501 1217535340556013 Thur, Jun 30
1020260006515303 1645335231507033 Thur, Jul 1
1140200356210031 1005431641234402 Thur, Jul 2
1140200023001213 1343404420633543 Thur, Jul 3
1020200006435243 1556404321521033 Thur, Jul 4
1020200340252422 1556211505006033 Thur, Jul 5
1020200006252322 1556404231033422 Thur, Jul 6
1020200006231430 1503540315456033 Thur, Jul 7
1020240623300002 1256411220556033 Thur, Jul 8
1020260501220002 1645234304033332 Thur, Jul 9
1020260300411002 1645335231511033 Thur, Jul 10
1020260321523002 1645300231404033 Thur, Jul 11
1020200006637411 1256445225505033 Thur, Jul 12
1020240304252002 1556420414215033 Thur, Jul 13
1020300511215002 1415540245033443 Thur, Jul 14
1020260501321002 1550425231306033 Thur, Jul 15
1020200452215422 1446241505006033 Thur, Jul 16
1020200433523243 1645211505006033 Thur, Jul 17
1020200302637243 1452421220006033 Thur, Jul 18
1020200006252322 1556404231525033 Thur, Jul 19
1020260300223002 1550425335033411 Thur, Jul 20
1020200521215552 1336404250006033 Thur, Jul 21
1020260505215002 1645321304342033 Thur, Jul 22
1020260501411002 1645335231307033 Thur, Jul 23
1020260300325002 1645431225414033 Thur, Jul 24
1020260501215002 1645321304342033 Thur, Jul 25
1020200521215552 1256404330006033 Thur, Jul 26
1020200006505432 1556235310033243 Thur, Jul 27
1020200302220243 1645424445006033 Thur, Jul 28
1020200452250513 1223430314006033 Thur, Jul 29
1020260300326002 1645330414033233 Thur, Jul 30
1020200006252322 1556404231432033 Thur, Jul 31
1120260007200411 1550434035505132 Thur, Aug 1
1020260000300513 1645321225342033 Thur, Aug 2
1130300521252001 1035334201552410 Thur, Aug 3
1020210000521552 1256325235033401 Thur, Aug 4
1020210000521552 1226341245033401 Thur, Aug 5
1020260000427213 1645415244033401 Thur, Aug 6
1020210000223552 1345430424033401 Thur, Aug 7
1020240623300000 1256411220556033 Thur, Aug 8
1020260501220000 1645234304033332 Thur, Aug 9
1020210000637252 1326445231033401 Thur, Aug 10
1020210000637252 1320445231033401 Thur, Aug 11
1020210000252231 1556325521033401 Thur, Aug 12
1020210000324252 1234445641033401 Thur, Aug 13
1020210000324250 1234445641033401 Thur, Aug 14
1020210000252503 1556420225340033 Thur, Aug 15
1020240000456213 1252535415033401 Thur, Aug 16
1020260242330000 1645300225033401 Thur, Aug 17
1020210000521552 1241341220033401 Thur, Aug 18
1020210000356241 1226540521033401 Thur, Aug 19
1020260000511400 1550334214230033 Thur, Aug 20
1020210000220241 1556331535033401 Thur, Aug 21
1020260505215000 1645321304342033 Thur, Aug 22
1020260000214342 1645424225404033 Thur, Aug 23
1020210000326252 1237445641033401 Thur, Aug 24
1020210000637252 1324445231033401 Thur, Aug 25
1020210000220243 1452424641404033 Thur, Aug 26
1020260501425000 1645311231307033 Thur, Aug 27
1020210000220243 1645424445404033 Thur, Aug 28
1020240452304000 1424211250535033 Thur, Aug 29
1020260000325501 1645431225202033 Thur, Aug 30
1020240000637213 1252411454033400 Thur, Aug 31
1110260304242031 1550420414007122 Thur, Sep 1
1140200356210031 1001431641234402 Thur, Sep 2
1130000010511400 1035540324245443 Thur, Sep 3
1140200302320031 1343535114007543 Thur, Sep 4
1110000340017322 1556040350511400 Thur, Sep 5
1110000235511400 1044540324013443 Thur, Sep 6
1110000340017042 1556314350400412 Thur, Sep 7
1110140501354031 1405320641256000 Thur, Sep 8
1130000623503010 1035301335252543 Thur, Sep 9
1110000331017552 1517040531241400 Thur, Sep 10
1110000040511400 1150540324013443 Thur, Sep 11
1110000501017042 1256445641305312 Thur, Sep 12
1110000040511400 1322540154013443 Thur, Sep 13
1110000501017443 1645040244305312 Thur, Sep 14
1110000320017042 1406241445552431 Thur, Sep 15
1110000320017042 1400241445552431 Thur, Sep 16
1110000452321400 1535040511013141 Thur, Sep 17
1110000040523400 1150314641013443 Thur, Sep 18
1110000511017322 1556040445241400 Thur, Sep 19
1110000452511400 1322040444013141 Thur, Sep 20
1110000501321552 1405040531013141 Thur, Sep 21
1110000320017402 1645040244430342 Thur, Sep 22
1110000320017400 1645040244430342 Thur, Sep 23
1110000331017552 1537040310241401 Thur, Sep 24
1110000452017042 1503301334245432 Thur, Sep 25
1110000501017042 1452241641305312 Thur, Sep 26
1110000501017042 1405320641245443 Thur, Sep 27
1110000501017042 1645241445305312 Thur, Sep 28
1110000320017042 1402241445552431 Thur, Sep 29
1110000320017042 1404241445552431 Thur, Sep 30
1110050304252001 1556420414036323 Thur, Oct 1
1000050013230300 1556214535505242 Thur, Oct 2
1000050013200232 1503535315252543 Thur, Oct 3
1000050013200223 1503445641252413 Thur, Oct 4
1000050013212503 1230535200252543 Thur, Oct 5
1000011300252212 1556411040231422 Thur, Oct 6
1000050013200221 1556404350322422 Thur, Oct 7
1000050013300232 1416535211252543 Thur, Oct 8
1000300013211552 1256430411511032 Thur, Oct 9
1000050013252503 1537311200552223 Thur, Oct 10
1000050013200221 1503445641252413 Thur, Oct 11
1000260013340400 1550314205422032 Thur, Oct 12
1000240013054301 1452415641501213 Thur, Oct 13
1000300013227423 1452215641054411 Thur, Oct 14
1000050013203552 1537414400225242 Thur, Oct 15
1000050013252232 1537314205552401 Thur, Oct 16
1000050013511400 1223435205552242 Thur, Oct 17
1000050013212503 1232535200252543 Thur, Oct 18
1000050013320221 1406535200252543 Thur, Oct 19
1000300013054443 1645314231210412 Thur, Oct 20
